Members_id ,congress,Chamber_id,chamber,Bioguide_id,bioguide,firstname,middlename,lastname,suffix,birthday,State_id,state,Party_id,party,incumbent,termstart,age
601,80,1,House,501,m000112,Joseph,Jefferson,Mansfield,,1861-02-09,43,TX,1,D,Yes,1/3/1947,85.9
602,80,1,House,502,D000448,Robert,Lee,Doughton,,1863-11-07,26,NC,1,D,Yes,1/3/1947,83.2
603,80,1,House,503,S000001,Adolph,Joachim,Sabath,,1866-04-04,13,IL,1,D,Yes,1/3/1947,80.7
604,80,1,House,504,E000023,Charles,Aubrey,Eaton,,1868-03-29,30,NJ,2,R,Yes,1/3/1947,78.8
605,80,1,House,505,L000296,William,,Lewis,,1868-09-22,16,KY,2,R,No,1/3/1947,78.3
606,80,1,House,506,G000017,James,A.,Gallagher,,1869-01-16,38,PA,2,R,No,1/3/1947,78
607,80,1,House,507,W000265,Richard,Joseph,Welch,,1869-02-13,5,CA,2,R,Yes,1/3/1947,77.9
608,80,1,House,508,B000565,Sol,,Bloom,,1870-03-09,33,NW,1,D,Yes,1/3/1947,76.8
609,80,1,House,509,H000943,Merlin,,Hull,,1870-12-18,48,WI,2,R,Yes,1/3/1947,76
610,80,1,House,510,G000169,Charles,Laceille,Gifford,,1871-03-15,18,MA,2,R,Yes,1/3/1947,75.8
611,80,1,house,511,B000545,Schuyler,Otis,Bland,,1872-05-04,45,VA,1,D,Yes,1/3/1947,74.7
612,80,1,House,512,R000358,John,Marshall,Robsion,,1873-01-02,16,KY,2,R,Yes,1/3/1947,74
613,80,1,House,513,l000501,Louis,Leon,Ludlow,,1873-06-24,14,IN,1,D,Yes,1/3/1947,73.5
614,80,1,House,514,K000138,John,Hosea,Kerr,,1873-12-31,26,NC,1,D,Yes,1/3/1947,73
615,80,1,House,515,C000932,Robert,,Crosser,,1874-06-07,35,OH,1,D,Yes,1/3/1947,72.6
616,80,1,house,516,L000163,Clarence,Frederick,Lea,,1874-07-11,5,CA,1,D,Yes,1/3/1947,72.5
617,80,1,house,517,K000039,John,,Kee,,1874-08-22,49,WV,1,D,Yes,1/3/1947,72.4
618,80,1,house,518,S000717,Brent,,Spence,,1874-12-24,16,KY,1,D,Yes,1/3/1947,72
619,80,1,house,519,A000257,Homer,Daniel,Angell,,1875-01-12,37,OR,2,R,Yes,1/3/1947,72
620,80,1,house,520,N000153,Mary,Teresa,Norton,,1875-03-07,30,NJ,1,D,Yes,1/3/1947,71.8
621,80,1,house,521,P000395,Charles,Albert,Plumley,,1875-04-14,46,VT,2,R,Yes,1/3/1947,71.7
622,80,1,house,522,D000496,Patrick,Henry,Drewry,,1875-05-24,45,VA,1,D,Yes,1/3/1947,71.6
623,80,1,house,523,H000683,Clare,Eugene,Hoffman,,1875-09-10,21,MI,2,R,Yes,1/3/1947,71.3
624,80,1,house,524,R000113,Daniel,Alden,Reed,,1875-09-15,34,NY,2,R,Yes,1/3/1947,71.3
625,80,1,house,525,B001214,William,Thomas,Byrne,,1876-03-06,34,NY,1,D,Yes,1/3/1947,70.8
626,80,1,house,526,W000718,Roy,Orchard,Woodruff,,1876-03-14,21,MI,2,R,Yes,1/3/1947,70.8
627,80,1,house,527,B000515,William,Wallace,Blackney,,1876-08-28,21,MI,2,R,Yes,1/3/1947,70.3
628,80,1,house,528,M000693,Earl,Cory,Michener,,1876-11-30,21,MI,2,R,Yes,1/3/1947,70.1
629,80,1,house,529,C000590,Howard,Aldridge,Coffin,,1877-06-11,21,MI,2,R,No,1/3/1947,69.6
630,80,1,house,530,M000374,Edward,Oscar,McCowen,,1877-06-29,35,OH,2,R,Yes,1/3/1947,69.5
631,80,1,house,531,W000012,James,Wolcott,Wadsworth,Jr.,1877-08-12,34,NY,2,R,Yes,1/3/1947,69.4
632,80,1,house,532,O000016,Thomas,Joseph,O'Brien,,1878-04-30,13,IL,1,D,Yes,1/3/1947,68.7
633,80,1,house,533,W000430,William,Madison,Whittington,,1878-05-04,24,MS,1,D,Yes,1/3/1947,68.7
634,80,1,house,534,L000238,William,,Lemke,,1878-08-13,27,ND,2,R,Yes,1/3/1947,68.4
635,80,1,house,535,D000212,John,Joseph,Delaney,,1878-08-21,33,NW,1,D,Yes,1/3/1947,68.4
636,80,1,house,536,J000117,Anton,Joseph,Johnson,,1878-10-20,13,IL,2,R,Yes,1/3/1947,68.2
637,80,1,house,537,C000117,Clarence,Andrew,Cannon,,1879-04-11,23,MO,1,D,Yes,1/3/1947,67.7
638,80,1,house,538,T000189,Robert,Ewing,Thomason,,1879-05-30,43,TX,1,D,Yes,1/3/1947,67.6
639,80,1,house,539,A000296,Samuel,Washington,Arnold,,1879-09-21,23,MO,2,R,Yes,1/3/1947,67.3
640,80,1,house,540,B000940,Paul,,Brown,,1880-03-31,10,GA,1,D,Yes,1/3/1947,66.8
641,80,1,house,541,C000831,Edward,Eugene,Cox,,1880-04-03,10,GA,1,D,Yes,1/3/1947,66.7
642,80,1,house,542,T000001,John,,Taber,,1880-05-05,34,NY,2,R,Yes,1/3/1947,66.7
643,80,1,House,543,J000096,John,,Jennings,Jr.,1880-06-06,42,TN,2,R,Yes,1/3/1947,66.6
644,80,1,House,544,G000206,Wilson,Darwin,Gillette,,1880-07-01,38,PA,2,R,Yes,1/3/1947,66.5
645,80,1,house,545,G000360,Louis,Edward,Graham,,1880-08-04,38,PA,2,R,Yes,1/3/1947,66.4
646,80,1,house,546,G000207,George,W.,Gillie,,1880-08-15,14,IN,2,R,Yes,1/3/1947,66.4
647,80,1,house,547,M000574,Rolla,Coral,McMillen,,1880-10-05,13,IL,2,R,Yes,1/3/1947,66.2
648,80,1,house,548,K000301,Harold,,Knutson,,1880-10-20,22,MN,2,R,Yes,1/3/1947,66.2
649,80,1,house,549,W000683,Charles,Anderson,Wolverton,,1880-10-24,30,NJ,2,R,Yes,1/3/1947,66.2
650,80,1,house,550,J000088,Thomas,Albert,Jenkins,,1880-10-28,35,OH,2,R,Yes,1/3/1947,66.2
651,80,1,House,551,F000241,John,Hamlin,Folger,,1880-12-18,26,NC,1,D,Yes,1/3/1947,66
652,80,1,House,552,Z000009,Orville,,Zimmerman,,1880-12-31,23,MO,1,D,Yes,1/3/1947,66
653,80,1,House,553,G000297,Angier,Louis,Goodwin,,1881-01-30,18,MA,2,R,Yes,1/3/1947,65.9
654,80,1,House,554,V000125,Charles,Wesley,Vursell,,1881-02-08,13,IL,2,R,Yes,1/3/1947,65.9
655,80,1,House,555,r000392,Edith,Nourse,Rogers,,1881-03-19,18,MA,2,R,Yes,1/3/1947,65.8
